Date,Close,Volume,Open,High,Low
07/25/2019, 38.12, 21255430, 39, 39.23, 37.91
07/24/2019, 38.73, 12488470, 38, 38.8, 37.76
07/23/2019, 37.9, 10741460, 37.87, 38.02, 36.82
07/22/2019, 37.58, 8415150, 36.92, 37.69, 36.83
07/19/2019, 36.77, 10842400, 37.96, 38.09, 36.73
07/18/2019, 37.66, 11125890, 37.39, 37.795, 37
07/17/2019, 37.7, 7926602, 37.86, 38.23, 37.56
07/16/2019, 37.99, 10979580, 38.78, 38.79, 37.82
07/15/2019, 38.68, 12738670, 38, 38.97, 37.9435
07/12/2019, 37.84, 8048674, 37.37, 37.9, 37.17
07/11/2019, 37.21, 8549479, 37.66, 37.87, 36.97
07/10/2019, 37.47, 11831810, 37.9, 38.03, 36.88
07/09/2019, 37.65, 14217970, 36.35, 37.67, 36.29
07/08/2019, 36.45, 8058474, 36.04, 36.64, 35.87
07/05/2019, 36.25, 6084815, 36, 36.35, 35.6
07/03/2019, 36.02, 5372634, 36.29, 36.39, 35.94
07/02/2019, 36.22, 8398931, 36.17, 36.6, 35.885
07/01/2019, 36.08, 14416770, 35.5, 36.25, 35.224
06/28/2019, 34.9, 15505290, 34.75, 34.99, 34.28
06/27/2019, 34.75, 12655890, 35.44, 35.64, 34.61
06/26/2019, 35.22, 8744768, 34.98, 35.38, 34.92
06/25/2019, 34.72, 11196390, 35.52, 35.73, 34.57
06/24/2019, 35.58, 9216830, 35.19, 35.67, 34.82
06/21/2019, 35.02, 12853620, 35.5, 35.75, 34.99
06/20/2019, 35.44, 19676060, 36.35, 36.65, 35.33
06/19/2019, 36.29, 12059710, 36.63, 36.68, 35.81
06/18/2019, 36.65, 12705490, 36.71, 37.51, 36.55
06/17/2019, 36.44, 7895968, 36.26, 36.68, 36.11
06/14/2019, 36.15, 7791057, 36.36, 36.49, 36.04
06/13/2019, 36.34, 21679420, 37.04, 37.04, 35.76
