day,time,close,open,high,low,volume
2019.12.16,0:00,145.894,145.651,146.808,145.651,121313
2019.12.17,0:00,143.66,145.978,146.112,143.473,134748
2019.12.18,0:00,143.197,143.713,143.859,143.069,132493
2019.12.19,0:00,142.241,143.2,143.865,141.973,141013
2019.12.20,0:00,142.285,142.23,143.048,142.088,109140
2019.12.23,0:00,141.381,142.222,142.536,141.158,86306
2019.12.24,0:00,141.66,141.372,141.758,141.307,76253
2019.12.26,0:00,142.33,142.348,142.727,141.988,55658
2019.12.27,0:00,143.233,142.395,143.639,142.034,86724
2019.12.30,0:00,142.741,143.215,143.425,142.584,124877
2019.12.31,0:00,144.248,142.739,144.36,142.424,87410
2020.01.02,0:00,142.553,143.716,143.942,142.267,87364
2020.01.03,0:00,141.344,142.498,142.78,140.997,157098
2020.01.06,0:00,142.633,140.984,142.785,140.828,135352
2020.01.07,0:00,142.236,142.536,143.289,142.017,136635
2020.01.08,0:00,142.824,142.196,143.103,141.117,210121
2020.01.09,0:00,143.053,142.817,143.453,142.421,121665
2020.01.10,0:00,143.007,143.066,143.493,142.888,109880
2020.01.13,0:00,142.75,142.71,142.965,142.36,105438
2020.01.14,0:00,143.094,142.748,143.429,142.449,128097
2020.01.15,0:00,143.251,143.079,143.383,142.651,111373
2020.01.16,0:00,144.034,143.255,144.134,143.217,115872
2020.01.17,0:00,143.24,143.977,144.526,143.214,107861
2020.01.20,0:00,143.29,142.975,143.358,142.8,60648
2020.01.21,0:00,143.282,143.262,143.969,142.857,112487
2020.01.22,0:00,144.263,143.295,144.608,143.206,113901
2020.01.23,0:00,143.585,144.271,144.413,143.204,118846
2020.01.24,0:00,142.784,143.614,144.402,142.712,118053
2020.01.27,0:00,142.086,142.374,142.745,142.051,132822
2020.01.28,0:00,142.163,142.112,142.451,141.476,112465
2020.01.29,0:00,141.854,142.1,142.348,141.704,96726
2020.01.30,0:00,142.58,141.869,142.704,141.255,158743
2020.01.31,0:00,143.081,142.579,143.285,142.458,147871
2020.02.03,0:00,141.148,142.886,143.102,141.065,148451
2020.02.04,0:00,142.681,141.186,142.836,140.923,144453
2020.02.05,0:00,142.717,142.671,143.373,142.222,150983
2020.02.06,0:00,142.143,142.737,142.818,142.09,121490
2020.02.07,0:00,141.419,142.148,142.368,141.386,129030
